Nome;Descricao;Link
Medieval Dynasty;Hunt, survive, build and lead in the harsh Middle Ages: Create your own Medieval Dynasty and ensure its long-lasting prosperity or die trying!;https://store.steampowered.com/app/1129580/Medieval_Dynasty/
Rogue State Revolution;Greetings your Excellency. Time to rebuild, reform and prepare for new challenges in the People's Republic of Basenji. In this thrilling political strategy, you will appoint ministers and lead the country to success. Be careful — you may find yourself replaced in the next election.;https://store.steampowered.com/app/1145340/Rogue_State_Revolution/
Gas Station Simulator;Buy an abandoned gas station and restore it to its full glory. Renovate, upgrade and expand upon the offered services to keep up with your clients demands.;https://store.steampowered.com/app/1149620/Gas_Station_Simulator/
Songs of Syx;Songs of Syx is a fantasy city-builder where you start off as an insignificant colony and build, scheme, and fight your way towards a metropolis and empire. The mechanics are complex and true to life, where small events can spiral into the collapse of kingdoms. Try the unlimited demo first!;https://store.steampowered.com/app/1162750/Songs_of_Syx/
Jurassic World Evolution 2;Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.;https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/
Lords and Villeins;Grow dynasties of medieval families and see them evolve and interact as you build their homes, in this lighthearted pixel art city-building strategy simulation. Expand your production chain and influence the daily lives of your villagers to craft a unique story of your settlement.;https://store.steampowered.com/app/1287530/Lords_and_Villeins/
Stray;Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.;https://store.steampowered.com/app/1332010/Stray/
Citystate II;Build the cities of a new Nation and bring about your vision of the ideal society. Citystate II is a modern city-builder featuring political customization and realistic economics with a focus on macro management.;https://store.steampowered.com/app/1352850/Citystate_II/
Dyson Sphere Program;Build the most efficient intergalactic factory in space simulation strategy game Dyson Sphere Program! Harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire.;https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/
Kapital: Sparks of Revolution;Sandbox economic simulation game about class struggle. European country is in a deep crisis. You are the mayor of the capital. Social unrest is inevitable. What price will you pay to save your people from anarchy?;https://store.steampowered.com/app/1399700/Kapital_Sparks_of_Revolution/
Pulling No Punches;A classic 2D arcade action game animated frame by frame. Survive a fictional pandemic in a city filled with madness and denial.;https://store.steampowered.com/app/1425760/Punhos_de_Repdio/
Highrise City;Highrise City offers a new spin on City Simulations & Tycoon games expanding the economy and ressource management aspect. Experience a modern take on the genre enriched with a complex resource based economy system.;https://store.steampowered.com/app/1489970/Highrise_City/
Distant Worlds 2;Distant Worlds 2 is a vast, pausable real-time 4X space strategy game.;https://store.steampowered.com/app/1531540/Distant_Worlds_2/
Internet Cafe Simulator 2;Internet Cafe Simulator 2 is an extremely comprehensive and detailed internet cafe business simulation game.;https://store.steampowered.com/app/1563180/Internet_Cafe_Simulator_2/
Dungeon Alchemist;Dungeon Alchemist is AI-powered fantasy mapmaking software that enables you to make awesome-looking maps, really fast!;https://store.steampowered.com/app/1588530/Dungeon_Alchemist/
S.T.A.L.K.E.R. 2: Heart of Chornobyl;Discover the vast Chornobyl Exclusion Zone full of dangerous enemies, deadly anomalies and powerful artifacts. Unveil your own epic story as you make your way to the Heart of Chornobyl. Make your choices wisely, as they will determine your fate in the end.;https://store.steampowered.com/app/1643320/STALKER_2_Heart_of_Chornobyl/
Power & Revolution 2022 Edition;New edition of the ultrarealistic simulator of today's world where you play as the head of state or as the opposition! Major developments: the war in the Ukraine and all of its consequences, conspiracy theories, fake news, interference by secret services, animal welfare and climate objectives.;https://store.steampowered.com/app/1823600/Power__Revolution_2022_Edition/
Clanfolk;Clanfolk is a medieval colony sim set in the Scottish Highlands. Harness your environment to survive - fish, gather, hunt, and farm as you prepare for the harsh winter. Build an inn, trade with other clans, have children and marry them off - live life and prosper across the generations.;https://store.steampowered.com/app/1700870/Clanfolk/
Farthest Frontier;Protect and guide your people as you forge a town from untamed wilderness at the edge of the known world. Harvest raw materials, hunt, fish and farm to survive. Produce crafted items to trade, consume, equip and fight with as you battle for your survival against the elements and outside threats.;https://store.steampowered.com/app/1044720/Farthest_Frontier/
